"施設種別","３歳未満児","３歳以上児","合計"
"認可保育所(人)","67071","100867","167938"
"認証保育所(人)","10248","3180","13428"
"認定こども園(人)","125","835","960"
"家庭福祉員(人)","1252","0","1252"
"保育室(人)","1350","0","1350"
"区市町村単独施策(人)","472","75","547"
"合計(人)","80518","104957","185475"
"就学前児童人口(人)","303815","290457","594272"
"利用率(％)","26.5","36.1","31.2"
