"","総数","20-29歳","30-39歳","40-49歳","50-59歳","60-69歳","70歳以上"
"人数(人)","356","28","34","68","59","72","95"
"緑黄色野菜(g/日)","91.2","66.0","71.8","87.5","77.5","109.4","102.9"
"その他の野菜(野菜類のうち、緑黄色野菜以外)(g/日)","188.6","179.9","188.1","188.8","188.0","219.2","168.3"
"緑黄色野菜／その他の野菜(野菜類のうち、緑黄色野菜以外)(g/日)","279.8","245.9","259.9","276.3","265.5","328.6","271.2"
