"","95年(mg/dl)","96年(mg/dl)","97年(mg/dl)","98年(mg/dl)"
"中央区","","","",""
"大田区","","","",""
"渋谷区","","","",""
"板橋区","","","",""
"足立区","","","",""
"八王子市","","","",""
"立川市","","","",""
"青梅市","","","",""
"町田市","","","",""
"田無市","","","",""
