"上段：度数／下段：%","n=","１年以下","２～３年","４～５年","６～９年","１０年以上","無回答","平均値"
"ＴＯＴＡＬ","8214","1495","2450","1648","864","496","1261","4.0"
"ＴＯＴＡＬ","100","18.2","29.8","20.1","10.5","6.0","15.4",""
"性別・年代／女性計","7526","1365","2225","1515","825","462","1134","4.0"
"性別・年代／女性計","100","18.1","29.6","20.1","11.0","6.1","15.1",""
"性別・年代／女性２０代","3297","746","1212","633","91","2","613","2.7"
"性別・年代／女性２０代","100","22.6","36.8","19.2","2.8","0.1","18.6",""
"性別・年代／女性３０代","1612","228","359","324","294","213","194","5.2"
"性別・年代／女性３０代","100","14.1","22.3","20.1","18.2","13.2","12.0",""
"性別・年代／女性４０代","1560","285","422","324","234","117","178","4.4"
"性別・年代／女性４０代","100","18.3","27.1","20.8","15.0","7.5","11.4",""
"性別・年代／女性５０代以上","1005","100","213","227","197","127","141","5.7"
"性別・年代／女性５０代以上","100","10.0","21.2","22.6","19.6","12.6","14.0",""
"性別・年代／男性計","380","94","137","71","8","6","64","2.8"
"性別・年代／男性計","100","24.7","36.1","18.7","2.1","1.6","16.8",""
"性別・年代／男性２０代","281","71","107","51","2","0","50","2.4"
"性別・年代／男性２０代","100","25.3","38.1","18.1","0.7","0.0","17.8",""
"性別・年代／男性３０代以上","99","23","30","20","6","6","14","3.6"
"性別・年代／男性３０代以上","100","23.2","30.3","20.2","6.1","6.1","14.1",""
"性別・年代／無回答","308","36","88","62","31","28","63","4.9"
"性別・年代／無回答","100","11.7","28.6","20.1","10.1","9.1","20.5",""
