"","施設総数","１ある／施設数","１ある／割合","２ない／施設数","２ない／割合","３エピペンを知らない／施設数","３エピペンを知らない／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1588","10","0.6","1542","97.1","","","36","2.3"
"認証保育所＊","527","","","506","96.0","","","21","4.0"
"認定こども園＊","95","2","2.1","92","96.8","","","1","1.1"
"幼稚園＊","666","4","0.6","644","96.7","6","0.9","12","1.8"
"ベビーホテル","331","1","0.3","319","96.4","1","0.3","10","3.0"
"家庭的保育","596","1","0.2","528","88.6","32","5.4","35","5.9"
"学童保育","1169","3","0.3","1144","97.9","1","0.1","21","1.8"
"上記以外の施設","376","2","0.5","357","94.9","3","0.8","14","3.7"
"総数","5348","23","0.4","5132","96.0","43","0.8","150","2.8"
"＊前回調査施設 (再掲）","2876","16","0.6","2785","96.8","6","0.2","70","2.4" 
