"","0人(%)","1人～2人(%)","3人～4人(%)","5人～9人(%)","10人～19人(%)","20人～29人(%)","30人～(%)","無回答(%)"
"全施設（n=5348）","","10.9","27.0","25.5","18.8","4.9","5.5","7.2"
"認可保育所（n=1588）","","4.7","41.4","51.4","","","",""
"認証保育所 n=（527）","","10.6","68.1","19.5","","","",""
"認定こども園（n=95）","","7.4","20.0","38.9","30.5","","",""
"幼稚園 n=（666）","","","","13.7","78.2","5.1","",""
"ベビーホテル n=（331）","","17.8","30.2","23.9","9.7","","","16.0"
"家庭的保育（n=596）","","49.7","31.9","9.1","","","","9.2"
"学童保育（n=1169）","","","1.3","9.3","32.0","18.5","22.6","15.8"
"上記以外の施設（n=376）","","22.1","27.1","19.7","8.2","","2.1","17.8" 
