"発見者","総数／合計(件)","総数／男(件)","総数／女(件)","小計0～64／男(件)","小計0～64／女(件)","0～19／男(件)","0～19／女(件)","20～24／男(件)","20～24／女(件)","25～29／男(件)","25～29／女(件)","30～34／男(件)","30～34／女(件)","35～39／男(件)","35～39／女(件)","40～44／男(件)","40～44／女(件)","45～49／男(件)","45～49／女(件)","50～54／男(件)","50～54／女(件)","55～59／男(件)","55～59／女(件)","60～64／男(件)","60～64／女(件)","小計65以上／男(件)","小計65以上／女(件)","65～69／男(件)","65～69／女(件)","70～74／男(件)","70～74／女(件)","75～79／男(件)","75～79／女(件)","80～84／男(件)","80～84／女(件)","85以上／男(件)","85以上／女(件)"
"総数","6267","4300","1967","1774","372","4","1","47","23","61","28","80","30","99","11","152","31","205","57","279","55","361","59","486","77","2526","1595","683","131","672","166","491","277","366","406","314","615"
"家人","1554","849","705","342","97","2","","5","4","10","7","20","8","18","7","27","9","40","18","46","18","75","13","99","13","507","608","111","50","105","68","104","104","81","155","106","231"
"隣人","691","520","171","163","28","","","2","2","","1","1","2","3","","9","","19","1","23","5","43","8","63","9","357","143","103","13","110","18","68","29","53","39","23","44"
"通行人","435","338","97","185","44","2","","20","7","9","2","11","5","10","1","17","6","26","7","25","7","33","3","32","6","153","53","44","8","56","12","31","16","16","9","6","8"
"知人","1086","861","225","520","95","","","11","6","26","14","30","8","40","1","55","9","60","11","96","13","96","16","106","17","341","130","127","12","102","23","52","30","38","34","22","31"
"保健・福祉","1137","670","467","160","38","","","","","1","1","1","1","3","","7","3","14","7","33","3","43","8","58","15","510","429","103","18","120","24","92","54","95","110","100","223"
"配達人","208","142","66","33","5","","","","1","1","","1","","","","","","2","1","3","","7","2","19","1","109","61","29","4","22","9","29","16","13","14","16","18"
"管理人","764","625","139","227","30","","","3","1","4","1","5","1","17","2","25","","28","5","29","6","42","5","74","9","398","109","115","16","115","8","84","16","57","29","27","40"
"警察官","40","31","9","14","3","","","1","","1","","","","1","","1","1","2","1","3","1","1","","4","","17","6","8","1","4","1","2","2","2","1","1","1"
"家政婦等","5","5","","1","","","","","","","","","","","","","","","","","","1","","","","4","","","","","","","","","","4",""
"その他","345","257","88","127","32","","1","5","2","8","2","11","5","7","","10","3","14","6","21","2","20","4","31","7","130","56","43","9","38","3","29","10","11","15","9","19"
"不詳","2","2","","2","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
