"","３時間未満(%)","３～５時間未満(%)","５～７時間未満(%)","７～９時間未満(%)","９時間以上(%)","無回答(%)","サンプル数","平均"
"TOTAL","","","4.1","10.6","","82.7","2871","6.8"
"正規職員雇用のみ希望者","","","","25.7","","72.1","526","7.8"
"パート・非常勤雇用のみ希望者","","4.7","7.1","5.3","","82.7","1246","5.8"
"正規職員またはパート・非常勤雇用希望者","","","","21.6","","76.1","176","7.7"
