"","平成11年(件)","平成12年(件)","平成13年(件)","平成14年(件)","平成15年(件)","平成16年(件)","平成17年(件)","平成18年(件)","平成19年(件)","平成20年(件)"
"総数","313985","352753","410507","406519","385762","356426","326042","309104","304685","289035"
"凶悪犯","1600","1916","2019","2138","2204","1935","1668","1462","1345","1231"
