"","17年度末","20年度末","23年度末","26年度末","27年度末","28年度末"
"その他(人)","102","100","100","96","96","96"
"旧知的(人)","809","791","781","696","696","671"
"計(人)","911","891","881","792","792","767"
"計／都内(人)","516","516","506","500","500","500"
"計／都外(人)","395","375","375","292","292","267"
