"","施設総数","１知っている／施設数","１知っている／割合","２知らない／施設数","２知らない／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1588","1497","94.3","62","3.9","29","1.8"
"認証保育所＊","527","471","89.4","50","9.5","6","1.1"
"認定こども園＊","95","85","89.5","8","8.4","2","2.1"
"幼稚園＊","666","562","84.4","87","13.1","17","2.6"
"ベビーホテル","331","279","84.3","45","13.6","7","2.1"
"家庭的保育","596","303","50.8","245","41.1","48","8.1"
"学童保育","1169","1051","89.9","94","8.0","24","2.1"
"上記以外の施設","376","321","85.4","46","12.2","9","2.4"
"総数","5348","4569","85.4","637","11.9","142","2.7"
"＊前回調査施設 (再掲）","2876","2615","90.9","207","7.2","54","1.9" 
