"","平成18年度(件)","平成19年度(件)","平成20年度(件)","平成21年度(件)","平成22年度(件)","平成23年度(件)","平成24年度(件)","平成25年度(件)"
"市区町村","4951","4953","5008","5510","7782","7183","7573","9479"
"東京都","3265","3307","3229","3339","4450","4559","4788","5414"
