"保険者番号","保険者別","受診率／入院","受診率／入院外","受診率／歯科","受診率／計","1件当たり日数／入院(日)","1件当たり日数／入院外(日)","1件当たり日数／歯科(日)","1件当たり日数／計(日)","1日当たり費用額／入院(円)","1日当たり費用額／入院外(円)","1日当たり費用額／歯科(円)","1日当たり費用額／計(円)","1人当たり費用額／入院(円)","1人当たり費用額／入院外(円)","1人当たり費用額／歯科(円)","1人当たり費用額／計(円)"
"","平成25年度総計","36.592","1430.226","294.020","1760.838","14.26","1.81","2.13","2.12","40468","7950","6267","12216","211183","205372","39212","455768"
"","平成26年度総計","36.530","1421.826","298.165","1756.521","14.2","1.78","2.05","2.08","40932","8187","6379","12532","212314","206630","39016","457960"
"","平成27年度総計","36.770","1419.506","299.200","1755.476","140","1.74","1.99","2.04","42108","8593","6457","13049","216793","212643","38540","467976"
"","公営計","36.686","1421.742","302.721","1761.148","14.14","1.75","1.99","2.05","41655","8544","6429","12955","216035","212203","38708","466946"
"","特別区計","37.605","1447.388","306.038","1791.032","13.91","1.78","2.01","2.08","42852","8640","6372","13080","224226","223052","39104","486382"
"","市町村計","35.085","1377.093","296.945","1709.123","14.55","1.68","1.96","1.99","39518","8359","6532","12718","201776","193315","38017","433108"
"","多摩計","35.002","1381.604","297.176","1713.783","14.56","1.68","1.96","1.99","39487","8345","6534","12686","201305","193696","38095","433096"
"","島しょ計","44.386","871.438","270.978","1186.802","13.5","1.58","1.74","2.06","42481","10974","6218","17788","254553","150624","29255","434431"
"","組合計","37.850","1390.793","254.004","1682.647","12.32","1.70","2.09","1.99","48581","9255","6866","14343","226518","218294","36392","481204"
"1","千代田区","46.531","1263.922","356.984","1667.438","15.46","1.74","1.92","2.16","38511","10393","6152","15204","277060","228372","42125","547558"
"2","中央区","36.428","1439.049","326.593","1802.071","13.51","1.74","1.87","2.00","46206","9323","6372","13859","227337","232904","38984","499225"
"3","港区","34.502","1278.535","311.391","1624.429","14.05","1.68","1.86","1.98","44064","10545","6478","14872","213662","226249","37584","477495"
"4","新宿区","38.566","1336.847","319.674","1695.087","13.10","1.75","1.98","2.05","44737","9604","6463","14133","226019","224783","40961","491763"
"5","文京区","35.549","1440.906","348.748","1825.203","13.21","1.70","1.87","1.95","45872","9017","6268","13365","215376","220465","40892","476733"
