"シャーレ設置場所","No.","設置箇所名","距離(m)","小麦ふるい開始後の時間区分／0～5分","小麦ふるい開始後の時間区分／5～30分","小麦ふるい開始後の時間区分／30～60分","小麦ふるい開始後の時間区分／60～120分"
"調理場内","(1)","食洗器横","6.0","-","+","-","-"
"調理場内","(2)","シンク網上","5.0","-","-","-","-"
"調理場内","(3)","作業台","4.0","+","+","+","+"
"調理場内","(4)","食器保管庫上","3.9","-","-","-","-"
"調理場内","(5)","作業台","2.0","+","-","-","-"
"調理場内","(6)","移動式作業台","1.2","+","-","-","-"
"調理場内","(7)","コンロ横","1.0","+","+","+","-"
"調理場外","(8)","換気扇直下","","+","+","+","-"
