"年度","中学生(人)","小学生(人)","幼児(人)"
"19","1048","3054","1284"
"20","983","2846","1135"
"21","871","2472","950"
"22","786","2290","965"
"23","811","2248","844"
"24","711","2041","997"
"25","631","1791","799"
