"事業区分","拠点区分","サービス区分"
"社会福祉事業","A里","本部"
"社会福祉事業","A里","短期入所生活介護"
"社会福祉事業","A里","居宅介護支援"
"社会福祉事業","A里","介護老人福祉施設"
"社会福祉事業","B園","保育園"
"社会福祉事業","Cの家","児童養護施設"
"社会福祉事業","Cの家","子育て短期支援事業"
"社会福祉事業","D苑","指定生活介護"
"社会福祉事業","D苑","指定自立訓練（生活訓練）"
"社会福祉事業","D苑","指定就労継続支援B型"
"社会福祉事業","D苑","指定居宅介護"
"公益事業","Eホーム","有料老人ホーム"
"収益事業","A里（駐車場）",""
"","",""
