"発災時","場所選択1(直後)","場所選択2","場所選択3","場所選択4","場所選択5","当日夜","計（人）"
"店舗(16人)","避難（店外へ）","","","","","","1"
"店舗(16人)","避難（店外へ）","自宅","","","","","1"
"店舗(16人)","避難（店外へ）","自宅","自宅","自宅","自宅","自宅","1"
"店舗(16人)","避難（店外へ）","自宅","車","車","車","車","1"
"店舗(16人)","避難（店外へ）","自宅","指定避難所","指定避難所","指定避難所","指定避難所","1"
"店舗(16人)","避難（店外へ）","車","自宅","","","","3"
"店舗(16人)","避難（店外へ）","車","自宅周辺","","","","1"
"店舗(16人)","避難（店外へ）","車","車","","","","2"
"店舗(16人)","避難（店外へ）","自宅駐車場","実家","実家","実家","実家","1"
"店舗(16人)","避難（店外へ）","外","指定避難所","指定避難所","指定避難所","指定避難所","1"
"店舗(16人)","避難（店外へ）","指定避難所","指定避難所","指定避難所","指定避難所","指定避難所","2"
"店舗(16人)","避難（店外へ）","職場駐車場(車)","職場駐車場(車)","職場駐車場(車)","職場駐車場(車)","職場駐車場(車)","1"
"職場(7人)","職場（2人）","","","","","","1"
"職場(7人)","職場（2人）","自宅","指定避難所","指定避難所","指定避難所","指定避難所","1"
"職場(7人)","避難（職場建物外へ）（5人）","","","","","","1"
"職場(7人)","避難（職場建物外へ）（5人）","自宅","自宅","自宅","自宅","自宅","1"
"職場(7人)","避難（職場建物外へ）（5人）","職場駐車場","職場駐車場","職場駐車場","職場駐車場","職場駐車場","2"
"職場(7人)","避難（職場建物外へ）（5人）","実家へ","","","","","1"
"親戚宅","自宅へ","指定避難所","避難所（車）","避難所（車）","避難所（車）","避難所（車）","1"
"産院","産院","産院","産院","産院","産院","産院","1"
"その他建物(2人)","避難（外へ）","自宅","車","","","","1"
"その他建物(2人)","車","","","","","","1"
