"区分","核家族世帯(%)","その他の親族世帯(%)"
"６歳未満の親族のいる世帯／東京都","91.3","8.7"
"６歳未満の親族のいる世帯／全国","78.6","21.4"
"１８歳未満の親族のいる世帯／東京都","88.5","11.5"
"１８歳未満の親族のいる世帯／全国","74.6","25.4"
