"","平成18年(歳)","平成19年(歳)","平成20年(歳)","平成21年(歳)","平成22年(歳)","平成23年(歳)","平成24年(歳)","平成25年(歳)"
"東京平均","30.7","30.9","31.0","31.3","31.5","31.6","31.8","32.0"
"全国平均","29.2","29.4","29.5","29.7","29.9","30.1","30.3","30.4"
