"","事業所名","平成27年度／定員","平成27年度／対象者延人数","平成27年度／工賃支払総額","平成27年度／工賃平均額"
"1","江戸川区立福祉作業所","95","74376","9357804","125.8"
"2","菜の花作業所","30","73038","5875510","97.0"
"3","新宿第二あした作業所","20","14446","4706468","325.8"
"4","新宿あした作業所","20","26102","5795298","222.0"
"5","新宿区立障害者福祉センター","14","17222","2077917","120.7"
"6","ユニーク工芸","33","15608","3801900","243.6"
"7","ゆめ工房","30","21492","1639490","76.3"
"8","ゆめ工房北砂","25","31242","1594503","51.0"
"9","第三あすなろ作業所","60","82481","7159880","86.8"
"10","糀谷作業所","24","19766","6137099","310.5"
"11","P.プロゼクト","20","17589","6388229","363.2"
"12","社会就労センターパイ焼き窯","28","18034","6720325","372.9"
"13","希望の家","60","48253","15406521","319.3"
"14","ほっとすぺーす関町","40","22346","3546832","158.7"
"15","HotJob","20","7989","1821454","228.0"
"16","ほっとすぺーす練馬","25","10650","2420688","227.3"
"17","ワークショップ石神井","25","17975","3436207","191.2"
"18","やまびこ第二作業所","30","16005","5713145","357.0"
"19","べるはうす","20","10441","2161844","207.1"
"20","ねりま事業所","34","34723","7423894","213.8"
"21","チャレンジャー","19","30837","19814350","642.6"
"22","武蔵境ワーキングセンター","14","25076","11068700","441.4"
"23","ワークイン関前","19","30256","9904050","327.3"
"24","巣立ち工房","20","25935","1983010","76.5"
"25","巣立ち風","30","25941","3067600","118.3"
"26","ワークセンターいくせい工房","20","31174","5666300","181.8"
"27","シェア","30","14176","5042038","355.7"
"28","こひつじ舎","50","35620","7820150","219.5"
"29","調布くすの木作業所","35","15217","4880231","320.7"
"30","オアシス・プラス","20","12716","3237714","254.6"
"31","ワークショップさかえ","20","6739","1919900","284.9"
"32","あきる野福祉工房","20","16905","1061077","63.0"
"33","たんぽぽ","34","26439","2114653","80.0"
"34","おだまき","20","16880","2131575","126.3"
"35","就労支援施設ビオラ","20","25944","8658109","333.7"
"36","さわやかワーク中央","20","24510","6085800","248.3"
"37","オフィスクローバー","35","18473","6687302","362.0"
"38","銀杏企画2","24","15509","3305154","213.1"
"39","銀杏企画","33","20001","5260563","263.0"
"40","銀杏企画三丁目","17","13134","2712382","206.5"
"41","あおぞら作業所","20","17389","5936481","341.4"
"42","つくりっこの家クラブハウス","35","15519","7601937","489.8"
"43","ベーカリーショップどんぐり","40","30764","9946760","323.3"
"44","ピープルファースト東久留米","12","9542","720000","75.5"
"45","豊芯会ジョブトレーニング事業所","15","15605","5968389","382.5"
"46","樹林館","20","13795","3232332","234.3"
"47","リバーサイドつつじ","20","9852","5566283","565.0"
"48","特定非営利活動法人工房ラピール","20","9473","2508000","264.8"
"49","風の子会高浜生活実習所","10","5268","306100","58.1"
"50","新宿西共同作業所・ラバンス","25","18896","7551635","399.6"
"51","工房わかぎり","20","32568","3228900","99.1"
