"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"悪い影響がある","183","60.6","226","71.8"
"何かしらの影響がある","90","29.8","76","24.1"
"良い影響がある","3","1.0","2","0.6"
"よくわからない","19","6.3","5","1.6"
"無記入","7","2.3","6","1.9"
"合計","302","100.0","315","100.0"
