"年度","就学前児童数(人)"
"1","678593"
"2","651916"
"3","626006"
"4","606921"
"5","590398"
"6","573903"
"7","566035"
"8","561890"
"9","561877"
"10","564107"
"11","569264"
"12","574501"
"13","576485"
"14","581553"
"15","586122"
"16","587675"
