"","平成22年(円)","平成23年(円)","平成24年(円)","平成25年(円)","平成26年(円)","平成27年(円)"
"東京都の平均工賃実績","14285","13893","14485","14588","14935","15086"
"全国の平均工賃実績","13079","13586","14190","14437","14838",""
