"","総数(人)","０歳児(人)","１歳児(人)","２歳児(人)","3歳児(人)","４歳以上(人)"
"4月/定員","169184","12829","23561","28908","33405","70481"
"4月/利用児童","167938","12014","24869","30188","33155","67712"
"4月/定員－利用","1246","815","-1308","-1280","250","2769"
"10月/定員","169844","12921","23716","29073","33530","70604"
"10月/利用児童","171134","13041","25433","30698","33687","68275"
"10月/定員－利用","-1290","-120","-1717","-1625","-157","2329"
