"上段：度数／下段：%","n=","「保育士就職支援研修・相談会」を知っている","「就職支援セミナー」を知っている","いずれも知らなかった","無回答"
"ＴＯＴＡＬ","15369","1718","2981","11123","573"
"ＴＯＴＡＬ","100","11.2","19.4","72.4","3.7"
"性別・年代／女性計","14059","1558","2703","10223","494"
"性別・年代／女性計","100","11.1","19.2","72.7","3.5"
"性別・年代／女性２０代","5708","393","992","4364","179"
"性別・年代／女性２０代","100","6.9","17.4","76.5","3.1"
"性別・年代／女性３０代","3634","359","619","2758","118"
"性別・年代／女性３０代","100","9.9","17.0","75.9","3.2"
"性別・年代／女性４０代","2861","527","666","1895","88"
"性別・年代／女性４０代","100","18.4","23.3","66.2","3.1"
"性別・年代／女性５０代以上","1751","271","406","1132","102"
"性別・年代／女性５０代以上","100","15.5","23.2","64.6","5.8"
"性別・年代／男性計","701","76","151","493","34"
"性別・年代／男性計","100","10.8","21.5","70.3","4.9"
"性別・年代／男性２０代","473","43","100","337","22"
"性別・年代／男性２０代","100","9.1","21.1","71.2","4.7"
"性別・年代／男性３０代以上","226","33","51","154","12"
"性別・年代／男性３０代以上","100","14.6","22.6","68.1","5.3"
"性別・年代／無回答","609","84","127","407","45"
"性別・年代／無回答","100","13.8","20.9","66.8","7.4"
