"","お問合せ事項","担当課","電話番号"
"各総合支所街づくり課","地域整備方針／地先道路整備方針／中高層建築物に関する紛争調整／土地区画整理事業を施行すべき区域（市街化予想線）（世田谷総合支所を除く）／東京都風致地区条例に基づく規制／許可（玉川／砧総合支所）／建築確認に伴う条例／要綱の手続き／建築台帳証明（世田谷総合支所を除く）／建築計画概要書の閲覧／建築協定／緑地協定／都市計画法第53条／土地区画整理法第76条の許可（建築確認を伴うものを除く）／都市計画法第65条の許可／都市計画／地区計画／沿道地区計画／地区街づくり計画等／自動車臨時運行許可／道路／公園等に関する相談／外環周辺の街づくり（砧／鳥山総合支所）","世田谷総合支所／街づくり課","5432-2460"
"各総合支所街づくり課","地域整備方針／地先道路整備方針／中高層建築物に関する紛争調整／土地区画整理事業を施行すべき区域（市街化予想線）（世田谷総合支所を除く）／東京都風致地区条例に基づく規制／許可（玉川／砧総合支所）／建築確認に伴う条例／要綱の手続き／建築台帳証明（世田谷総合支所を除く）／建築計画概要書の閲覧／建築協定／緑地協定／都市計画法第53条／土地区画整理法第76条の許可（建築確認を伴うものを除く）／都市計画法第65条の許可／都市計画／地区計画／沿道地区計画／地区街づくり計画等／自動車臨時運行許可／道路／公園等に関する相談／外環周辺の街づくり（砧／鳥山総合支所）","世田谷総合支所／街づくり課","5432-2870-2"
"各総合支所街づくり課","地域整備方針／地先道路整備方針／中高層建築物に関する紛争調整／土地区画整理事業を施行すべき区域（市街化予想線）（世田谷総合支所を除く）／東京都風致地区条例に基づく規制／許可（玉川／砧総合支所）／建築確認に伴う条例／要綱の手続き／建築台帳証明（世田谷総合支所を除く）／建築計画概要書の閲覧／建築協定／緑地協定／都市計画法第53条／土地区画整理法第76条の許可（建築確認を伴うものを除く）／都市計画法第65条の許可／都市計画／地区計画／沿道地区計画／地区街づくり計画等／自動車臨時運行許可／道路／公園等に関する相談／外環周辺の街づくり（砧／鳥山総合支所）","北沢総合支所／街づくり課","5478-8031"
"各総合支所街づくり課","地域整備方針／地先道路整備方針／中高層建築物に関する紛争調整／土地区画整理事業を施行すべき区域（市街化予想線）（世田谷総合支所を除く）／東京都風致地区条例に基づく規制／許可（玉川／砧総合支所）／建築確認に伴う条例／要綱の手続き／建築台帳証明（世田谷総合支所を除く）／建築計画概要書の閲覧／建築協定／緑地協定／都市計画法第53条／土地区画整理法第76条の許可（建築確認を伴うものを除く）／都市計画法第65条の許可／都市計画／地区計画／沿道地区計画／地区街づくり計画等／自動車臨時運行許可／道路／公園等に関する相談／外環周辺の街づくり（砧／鳥山総合支所）","北沢総合支所／街づくり課","5478-8074"
"各総合支所街づくり課","地域整備方針／地先道路整備方針／中高層建築物に関する紛争調整／土地区画整理事業を施行すべき区域（市街化予想線）（世田谷総合支所を除く）／東京都風致地区条例に基づく規制／許可（玉川／砧総合支所）／建築確認に伴う条例／要綱の手続き／建築台帳証明（世田谷総合支所を除く）／建築計画概要書の閲覧／建築協定／緑地協定／都市計画法第53条／土地区画整理法第76条の許可（建築確認を伴うものを除く）／都市計画法第65条の許可／都市計画／地区計画／沿道地区計画／地区街づくり計画等／自動車臨時運行許可／道路／公園等に関する相談／外環周辺の街づくり（砧／鳥山総合支所）","北沢総合支所／街づくり課","5478-8076"
"各総合支所街づくり課","地域整備方針／地先道路整備方針／中高層建築物に関する紛争調整／土地区画整理事業を施行すべき区域（市街化予想線）（世田谷総合支所を除く）／東京都風致地区条例に基づく規制／許可（玉川／砧総合支所）／建築確認に伴う条例／要綱の手続き／建築台帳証明（世田谷総合支所を除く）／建築計画概要書の閲覧／建築協定／緑地協定／都市計画法第53条／土地区画整理法第76条の許可（建築確認を伴うものを除く）／都市計画法第65条の許可／都市計画／地区計画／沿道地区計画／地区街づくり計画等／自動車臨時運行許可／道路／公園等に関する相談／外環周辺の街づくり（砧／鳥山総合支所）","玉川総合支所／街づくり課","3702-4513"
"各総合支所街づくり課","地域整備方針／地先道路整備方針／中高層建築物に関する紛争調整／土地区画整理事業を施行すべき区域（市街化予想線）（世田谷総合支所を除く）／東京都風致地区条例に基づく規制／許可（玉川／砧総合支所）／建築確認に伴う条例／要綱の手続き／建築台帳証明（世田谷総合支所を除く）／建築計画概要書の閲覧／建築協定／緑地協定／都市計画法第53条／土地区画整理法第76条の許可（建築確認を伴うものを除く）／都市計画法第65条の許可／都市計画／地区計画／沿道地区計画／地区街づくり計画等／自動車臨時運行許可／道路／公園等に関する相談／外環周辺の街づくり（砧／鳥山総合支所）","玉川総合支所／街づくり課","3702-4539"
"各総合支所街づくり課","地域整備方針／地先道路整備方針／中高層建築物に関する紛争調整／土地区画整理事業を施行すべき区域（市街化予想線）（世田谷総合支所を除く）／東京都風致地区条例に基づく規制／許可（玉川／砧総合支所）／建築確認に伴う条例／要綱の手続き／建築台帳証明（世田谷総合支所を除く）／建築計画概要書の閲覧／建築協定／緑地協定／都市計画法第53条／土地区画整理法第76条の許可（建築確認を伴うものを除く）／都市計画法第65条の許可／都市計画／地区計画／沿道地区計画／地区街づくり計画等／自動車臨時運行許可／道路／公園等に関する相談／外環周辺の街づくり（砧／鳥山総合支所）","玉川総合支所／街づくり課","3702-4568"
"各総合支所街づくり課","地域整備方針／地先道路整備方針／中高層建築物に関する紛争調整／土地区画整理事業を施行すべき区域（市街化予想線）（世田谷総合支所を除く）／東京都風致地区条例に基づく規制／許可（玉川／砧総合支所）／建築確認に伴う条例／要綱の手続き／建築台帳証明（世田谷総合支所を除く）／建築計画概要書の閲覧／建築協定／緑地協定／都市計画法第53条／土地区画整理法第76条の許可（建築確認を伴うものを除く）／都市計画法第65条の許可／都市計画／地区計画／沿道地区計画／地区街づくり計画等／自動車臨時運行許可／道路／公園等に関する相談／外環周辺の街づくり（砧／鳥山総合支所）","玉川総合支所／街づくり課","3702-4573"
"各総合支所街づくり課","地域整備方針／地先道路整備方針／中高層建築物に関する紛争調整／土地区画整理事業を施行すべき区域（市街化予想線）（世田谷総合支所を除く）／東京都風致地区条例に基づく規制／許可（玉川／砧総合支所）／建築確認に伴う条例／要綱の手続き／建築台帳証明（世田谷総合支所を除く）／建築計画概要書の閲覧／建築協定／緑地協定／都市計画法第53条／土地区画整理法第76条の許可（建築確認を伴うものを除く）／都市計画法第65条の許可／都市計画／地区計画／沿道地区計画／地区街づくり計画等／自動車臨時運行許可／道路／公園等に関する相談／外環周辺の街づくり（砧／鳥山総合支所）","砧総合支所／街づくり課","3482-1301"
