"","小学5年生(％)","中学2年生(％)","16-17歳(％)"
"毎月おこづかいを渡す","3.6","4.9","7.1"
"毎年新しい洋服・靴を買う","2.4","3.7","4.9"
"習い事（音楽、スポーツ、習字等）に通わせる","5.2","12.5","17.6"
"学習塾に通わせる（または家庭教師に来てもらう）","12.9","12.9","18.4"
"お誕生日のお祝いをする","0.4","1.1","1.7"
"１年に１回程度家族旅行に行く","11.3","15.6","19.2"
"クリスマスのプレゼントや正月のお年玉をあげる","1.0","2.8","3.6"
