"","昭和50年(％)","昭和55年(％)","昭和60年(％)","平成2年(％)","平成7年(％)","平成12年(％)","平成17年(％)"
"東京都25～29歳","32.0","36.6","43.3","53.1","59.5","65.3","70.1"
"東京都30～34歳","14.4","17.3","19.5","24.1","30.8","37.6","42.9"
"全国25～29歳","20.9","24.0","30.6","40.2","48.0","54.0","59.0"
"全国30～34歳","7.7","9.1","10.4","13.9","19.7","26.6","32.0"
