"年度","総数（左目盛）(件)","凶悪犯（右目盛）(件)"
"6","328332","1190"
"7","312604","1091"
"8","323064","1151"
"9","324467","1419"
"10","320268","1523"
"11","313985","1600"
"12","352753","1916"
"13","410507","2019"
"14","406519","2138"
"15","385762","2204"
"16","356675","1936"
