"","大学進学率 男(%)","大学進学率 女(%)","未婚率(25～29歳） 男(%)","未婚率(25～29歳） 女(%)"
"S30","","","41.1","20.6"
"S35","","","",""
"S40","","","",""
"S45","","","",""
"S50","","","48.3",""
"S55","","","55.1","24.0"
"S60","","","60.4","30.6"
"H2","","","64.4","40.2"
"H7","","","66.9","48.0"
"H12","","","69.3","54.0"
