"","認可保育所(人)","認証保育所(人)","保育室(人)","家庭福祉員(人)","幼稚園(人)","その他(人)"
"4歳以上","67712","1663","","","121893","4605"
"3歳","33155","1517","","","50126","9786"
"2歳","30188","3777","437","323","","65132"
"1歳","24869","4241","587","509","","72139"
"0歳","12014","2230","326","420","","86623"
