"","今すぐにでも働きたい(%)","いずれ働きたい(%)","今後も働くつもりはない(%)","無回答(%)"
"平成24年度(1757人)","13.7","69.6","13.9","2.8"
"平成19年度(2077人)","10.2","69.3","18.6","1.9"
"平成14年度(2526人)","10.1","68.7","17.5","3.7"
