"","総数","その他HP","旅行ガイドブック・雑誌等","ブログ・SNS","自国の家族・友人・知人等","旅行会社HP","日本政府観光局HP","日本在住の友人・知人等","その他","調べていない"
"総数／n","119","48","33","32","27","15","11","9","4","10"
"総数／%","","40.3","27.7","26.9","22.7","12.6","9.2","7.6","3.4","8.4"
