"","現実(％)","理想(％)"
"自分10配偶者0","7.4","0.3"
"自分９配偶者1","36.0","2.3"
"自分８配偶者2","30.7","12.8"
"自分７配偶者3","14.0","33.8"
"自分６配偶者4","5.3","27.9"
"自分５配偶者5","2.9","18.8"
"自分４配偶者6","0.6","1.1"
"自分３配偶者7","0.5","0.7"
"自分２配偶者8","0.7","0.4"
"自分１配偶者9","0.5","0.2"
"自分０配偶者10","",""
"無回答","1.5","1.8"
