"","内容／件数","従業員の資格／獣医師","従業員の資格／獣医師(%)","従業員の資格／飼養管理士","従業員の資格／飼養管理士(%)","従業員の資格／トリマー","従業員の資格／トリマー(%)","従業員の資格／アニマルヘルステクニシャン","従業員の資格／アニマルヘルステクニシャン(%)","従業員の資格／訓練士","従業員の資格／訓練士(%)","従業員の資格／その他","従業員の資格／その他(%)","従業員の資格／資格要件なし","従業員の資格／資格要件なし(%)","従業員の教育制度／有り","従業員の教育制度／有り(%)","従業員の教育制度／無し","従業員の教育制度／無し(%)"
"全体（％）","340","8","2","10","3","143","42","4","1","10","3","9","3","156","46","101","30","239","70"
"売買（％）","238","2","1","10","4","93","39","2","1","3","1","7","3","121","51","66","28","172","72"
"貸出（％）","5","0","0","0","0","1","20","0","0","0","0","0","0","4","80","4","80","1","20"
"保管（％）","135","7","5","2","1","72","53","3","2","1","1","3","2","47","35","50","37","85","63"
"訓練（％）","17","1","6","0","0","2","12","1","6","7","41","0","0","6","35","8","47","9","53"
"輸出入（％）","6","0","0","0","0","2","33","0","0","0","0","0","0","4","67","3","50","3","50"
"美容（％）","208","6","3","1","0","122","59","3","1","0","0","3","1","73","35","66","32","142","68"
