"","H16(人)","H17(人)","H18(人)","H19(人)","H20(人)","H21(人)"
"","","","","","","570"
"その他","","","","","","49"
"求職中","","","","","","298"
"就労中(非常勤)","","","","","","98"
"就労中(常勤)","440","428","394","344","436","125"
