"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"24","77.1","19.7","1.7","0.8","0.7"
"19","71.4","25.6","1.6","0.7","0.8"
"14","75.4","21.2","1.2","0.4","2.0"
"9","58.5","36.4","3.9","0.7","0.5"
