"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"24","51.1","36","10.3","2.1","0.5"
"19","50.8","37.1","9.6","2.1","0.3"
"14","54.3","34.8","8.8","1.7","0.5"
"9","57.8","33.7","7.7","0.8","0.1"
