"","5～9年(人)","10～14年(人)","15～19年(人)"
"S52","1.92","2.16","2.19"
"S57","1.95","2.16","2.23"
"S62","1.96","2.16","2.19"
"H4","1.84","2.19","2.21"
"H9","1.75","2.10","2.21"
"H14","1.71","2.04","2.23"
