"","昭和50年(歳)","昭和55年(歳)","昭和60年(歳)","平成2年(歳)","平成7年(歳)","平成12年(歳)","平成13年(歳)","平成14年(歳)","平成15年(歳)","平成16年(歳)","平成17年(歳)","平成18年(歳)","平成19年(歳)"
"東京都夫","27.6","28.6","29.0","29.3","29.6","30.1","30.4","30.5","30.7","30.9","31.2","31.3","31.5"
"全国夫","27.0","27.8","28.2","28.4","28.5","28.8","29.0","29.1","29.4","29.6","29.8","30.0","30.1"
"東京都妻","25.5","26.1","26.3","26.7","27.3","28.0","28.3","28.4","28.7","28.9","29.2","29.3","29.5"
"全国妻","24.7","25.2","25.5","25.9","26.3","27.0","27.2","27.4","27.6","27.8","28.0","28.2","28.3"
