"","絶対断る","たぶん断る","たぶん吸う","絶対に吸う"
"喫煙する友人なし（小学6年生）／n=273(人)","237","29","6","1"
"喫煙する友人なし（小学6年生）／n=273(%)","86.8","10.6","2.2","0.4"
"喫煙する友人なし（中学3年生）／n=249(人)","216","30","2","1"
"喫煙する友人なし（中学3年生）／n=249(%)","86.8","12.0","0.8","0.4"
"喫煙する友人あり（小学6年生）／n=25(人)","16","6","3","0"
"喫煙する友人あり（小学6年生）／n=25(%)","64.0","24.0","12.0","0.0"
"喫煙する友人あり（中学3年生）／n=65(人)","52","11","2","0"
"喫煙する友人あり（中学3年生）／n=65(%)","80.0","16.9","3.1","0.0"
