"年度","たんぱく質(%)","脂質(%)","炭水化物(%)","平均摂取エネルギー(kcal)"
"60","15.2","26.0","58.8","2039"
"2","16.2","26.8","57.0","1919"
"7","15.9","27.3","56.8","2074"
"12","15.9","27.9","56.2","1908"
"17","15.4","25.9","58.7","1860"
"18","14.9","26.9","58.2","1908"
"19","14.9","26.7","58.4","1843"
"20","14.9","26.6","58.5","1871"
"21","14.7","25.8","59.4","1854"
"22","14.7","27.2","58.1","1898"
"23","14.6","27.0","58.4","1846"
"24","14.4","27.6","58.0","1880"
"25","14.8","27.6","57.6","1913"
"26","14.5","28.2","57.3","1867"
"27","15.1","27.9","57.0","1849"
