"年齢","人","平均値(μg)","標準偏差(μg)","パーセンタイル／1(μg)","パーセンタイル／5(μg)","パーセンタイル／10(μg)","パーセンタイル／25(μg)","パーセンタイル／50(中央値)(μg)","パーセンタイル／75(μg)","パーセンタイル／90(μg)","パーセンタイル／95(μg)","パーセンタイル／99(μg)"
"男性総数","205","230","162","20","47","64","110","192","308","456","507","750"
"1～2歳","4","206","160","23","36","54","105","213","313","352","365","376"
"3～5歳","5","212","153","71","73","76","83","192","274","374","407","434"
"6～7歳","6","262","89","157","163","171","201","252","313","363","379","391"
"8～9歳","3","335","199","114","139","171","266","424","449","464","469","473"
"10～11歳","5","175","63","104","106","110","120","178","226","239","243","247"
"12～14歳","8","154","97","39","43","48","93","133","205","274","298","318"
"15～17歳","6","202","107","92","96","101","125","172","280","332","341","348"
"18～29歳","20","265","187","37","57","75","130","231","331","507","597","723"
"30～49歳","42","193","124","41","49","63","102","164","263","412","454","475"
"50～69歳","60","248","180","35","54","65","116","218","311","487","522","779"
"70歳以上","46","242","182","10","38","66","117","199","348","446","526","821"
"女性総数","228","220","156","9","47","60","101","180","304","436","529","640"
"1～2歳","3","239","161","103","111","121","150","200","308","373","395","412"
"3～5歳","2","324","117","243","250","258","283","324","366","390","399","405"
"6～7歳","6","140","81","73","75","76","84","100","208","244","244","244"
"8～9歳","4","194","159","56","60","64","77","159","275","351","377","397"
"10～11歳","1","366","0","366","366","366","366","366","366","366","366","366"
"12～14歳","8","208","129","63","89","122","152","174","216","334","413","477"
"15～17歳","7","117","43","63","69","75","95","109","132","160","178","193"
"18～29歳","17","180","132","48","54","59","70","141","199","336","426","506"
"30～49歳","60","222","147","36","58","71","114","177","307","438","491","615"
"50～69歳","71","220","161","7","13","43","105","190","291","465","555","611"
"70歳以上","49","250","186","20","51","64","88","218","355","449","621","759"
"(再掲)妊婦","1","114","0","114","114","114","114","114","114","114","114","114"
"授乳婦","1","55","0","55","55","55","55","55","55","55","55","55"
