"水害の危険性が高まる前","場所選択１（水害の危険が高まっている時）","場所選択２","場所選択３","当日夜","計（人）"
"自宅（22人）","","","","","7"
"自宅（22人）","自宅（４人）","","","","2"
"自宅（22人）","自宅（４人）","自宅","自宅","自宅","1"
"自宅（22人）","自宅（４人）","自宅","自宅","自宅周辺泊","1"
"自宅（22人）","自宅2階へ（４人）","","","","1"
"自宅（22人）","自宅2階へ（４人）","２階（助けを待つ）","","","3"
"自宅（22人）","避難（自宅外へ）（7人）","","","","1"
"自宅（22人）","避難（自宅外へ）（7人）","近所の大型店舗","実家","実家","1"
"自宅（22人）","避難（自宅外へ）（7人）","指定避難所（4人）","","","2"
"自宅（22人）","避難（自宅外へ）（7人）","指定避難所（4人）","指定避難所","指定避難所","1"
"自宅（22人）","避難（自宅外へ）（7人）","指定避難所（4人）","自宅","自宅","1"
"自宅（22人）","避難（自宅外へ）（7人）","親戚宅","","","1"
