"","平成21(％)","平成22(％)","平成23(％)","平成24(％)","平成25(％)"
"都内鉄道駅の「ホームドア・可動式ホーム柵」の整備率（23年度より調査実施）","","","24.7","27.8","30.1"
"都内鉄道駅の「エレベーター等による段差解消」の整備率","82.7","86.0","87.3","88.7","90.5"
"都内のノンステップバス車両の普及状況","80.4","82.7","86.6","88.4","89.2"
