"年度","賛成(%)","どちらかといえば賛成(%)","わからない(%)","どちらかとえいば反対(%)","反対(%)"
"16","20.6","20.8","7.2","27.2","24.2"
"16／20～29歳","32.1","30.1","7.3","19.4","11.0"
"14","22.0","18.0","6.5","27.4","26.1"
