"","50～299人(％)","300～999人(％)","1000人(％)","合計(％)"
"法定雇用率未達成企業","71.6","68.6","54.5","69.7"
"法定雇用率達成企業","28.4","31.4","45.5","30.3"
"実雇用率","0.99","1.62","2.02","1.77"
