"","登録者数総数(人)","登録者数（うち精神）(人)","就職者数総数(人)","就職者数（うち精神）(人)"
"板橋（ワーキング・トライ）","399","360","32","29"
"世田谷（アイーキャリア）","447","303","40","35"
"国立（オープナー）","241","185","32","25"
"千代田（WEL's　Tokyo）","465","153","31","15"
"八王子（TALENT）","321","181","36","12"
"福生（けるん）","187","103","32","10"
"合計","2060","1285","203","126"
