"年齢","人","平均値(μg)","標準偏差(μg)","パーセンタイル／1(μg)","パーセンタイル／5(μg)","パーセンタイル／10(μg)","パーセンタイル／25(μg)","パーセンタイル／50(中央値)(μg)","パーセンタイル／75(μg)","パーセンタイル／90(μg)","パーセンタイル／95(μg)","パーセンタイル／99(μg)"
"男性総数","205","7.7","8.2","0.3","0.6","0.9","1.6","4","12.7","19.4","23","35.3"
"1～2歳","4","11.3","14","0.2","0.5","0.7","1.6","7.1","16.8","25.1","27.9","30.1"
"3～5歳","5","3.5","3.3","1.3","1.4","1.5","1.8","2.3","2.9","6.7","8","9"
"6～7歳","6","3.1","1.5","1.2","1.5","1.8","2.5","3.1","3.5","4.6","5.1","5.5"
"8～9歳","3","1.3","0.3","1.1","1.1","1.1","1.1","1.2","1.4","1.6","1.6","1.6"
"10～11歳","5","3.5","2.8","1.4","1.4","1.5","1.6","2.9","3.1","6.2","7.3","8.1"
"12～14歳","8","8.4","7.6","1.5","1.5","1.5","2.7","7.1","10.2","17.1","20.4","23.1"
"15～17歳","6","3.5","2.7","0.5","0.7","0.9","1.5","3.3","4.7","6.2","6.9","7.5"
"18～29歳","20","5.5","6.2","0.3","0.4","0.7","1.8","2.9","5.7","13.3","17.8","22"
"30～49歳","42","6.8","8.3","0.3","0.4","0.6","1","3.2","9.3","18.1","24.8","31.8"
"50～69歳","60","9.5","9.7","0.4","0.7","0.9","2.1","6.6","14.4","19.6","24.7","45.1"
"70歳以上","46","9.1","7.6","1","1","1","2","6.9","16.6","19.6","21.4","23.7"
"女性総数","228","7.4","7.9","0.1","0.7","1","1.7","4","10.8","18.2","23.7","36.6"
"1～2歳","3","3.5","1.4","2","2.1","2.3","2.8","3.7","4.2","4.5","4.6","4.7"
"3～5歳","2","4.2","4","1.4","1.7","1.9","2.8","4.2","5.6","6.4","6.7","6.9"
"6～7歳","6","3.9","2.8","1.3","1.5","1.8","2.3","3.2","4.1","6.7","8","9"
"8～9歳","4","2.2","0.7","1.3","1.4","1.6","2.1","2.5","2.6","2.7","2.7","2.7"
"10～11歳","1","2.4","0","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4"
"12～14歳","8","7.9","12.1","1.4","1.6","1.8","2.2","2.5","5.5","20.8","28.3","34.3"
"15～17歳","7","7.1","5.5","1.4","1.5","1.5","2.3","5.9","11.7","13.1","13.8","14.4"
"18～29歳","17","5.7","5","0.3","0.8","1.1","2.4","3.7","7.1","13","15","17.3"
"30～49歳","60","6.7","8.2","0.1","0.2","0.7","1.3","3","8.9","19.5","24.1","32.4"
"50～69歳","71","9","8.2","0.5","0.9","1.1","2.2","7","15.1","19.3","23.2","30.1"
"70歳以上","49","8","8.2","0","0.7","1","1.8","4.8","10.7","17.8","23.9","32.7"
"(再掲)妊婦","1","3.3","0","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3"
"授乳婦","1","4.4","0","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4"
