"","男女計／件数","男女計／％","男性／件数","男性／％","女性／件数","女性／％"
"進学したい","83","69.2","32","61.5","51","75.0"
"就職したい","22","18.3","10","19.2","12","17.6"
"その他","13","10.8","9","17.3","4","5.9"
"無回答","2","1.7","1","1.9","1","1.5"
"合計","120","100.0","52","100.0","68","100.0"
