"","男女計／件数","男女計／％","男性／件数","男性／％","女性／件数","女性／％"
"思う","104","86.7","45","86.5","59","86.8"
"思わない","12","10.0","5","9.6","7","10.3"
"無回答","4","3.3","2","3.8","2","2.9"
"合計","120","100.0","52","100.0","68","100.0"
