"年度","虐待受理(件)","虐待処理(件)"
"4","160","155"
"5","195","190"
"6","217","221"
"7","428","390"
"8","489","484"
"9","582","594"
"10","714","701"
"11","1315","1179"
"12","1940","1806"
"13","2491","2529"
"14","2074","2353"
"15","2481","2206"
