"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"確実に禁煙できる(やめられる)","120","39.7","51","16.2"
"たぶん禁煙できる(たぶんやめられる)","82","27.1","59","18.7"
"たぶん禁煙するのは難しい(たぶんやめられない)","79","26.2","99","31.4"
"禁煙は難しい(やめられない)","21","7.0","106","33.7"
"合計","302","100.0","315","100.0"
