"","小学校/公立/H14(万円)","小学校/公立/H16(万円)","小学校/公立/H18(万円)","小学校/公立/H20(万円)","小学校/私立/H18(万円)","小学校/私立/H20(万円)","中学校/公立/H14(万円)","中学校/公立/H16(万円)","中学校/公立/H18(万円)","中学校/公立/H20(万円)","中学校/私立/H14(万円)","中学校/私立/H16(万円)","中学校/私立/H18(万円)","中学校/私立/H20(万円)","高校/公立/H14(万円)","高校/公立/H16(万円)","高校/公立/H18(万円)","高校/公立/H20(万円)","高校/私立/H14(万円)","高校/私立/H16(万円)","高校/私立/H18(万円)","高校/私立/H20(万円)"
"学校外活動費","20.0","21.9","23.7","21.0","56.2","56.4","27.4","29.9","30.2","30.5","29.9","31.5","30.4","28.9","18.9","17.4","17.7","15.9","24.5","26.5","26.0","19.8"
"学校給食費","3.9","4.1","4.1","4.2","3.1","3.6","3.4","3.7","3.7","3.7","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0"
"学校教育費","5.3","5.5","5.7","5.6","78.0","79.3","12.9","13.3","13.3","13.8","92.9","95.6","95.8","94.7","33.9","34.2","34.4","35.7","78.6","76.9","78.5","78.3"
