"","青梅市","東大和市","八王子市","中野区","豊島区","品川区","足立区","八丈島","総計"
"6年度／在籍数","935","682","","697","1310","736","","","4360"
"6年度／回収数","908","645","","674","1270","716","","","4213"
"6年度／回収数(%)","97.1","94.6","","96.7","96.9","97.3","","","96.6"
"7年度／在籍数","931","685","746","651","926","716","847","","5502"
"7年度／回収数","904","645","693","623","886","647","790","","5188"
"7年度／回収数(%)","97.1","94.2","92.9","95.7","95.7","90.4","93.3","","94.3"
"8年度／在籍数","905","665","703","658","899","685","837","","5352"
"8年度／回収数","848","613","630","613","847","631","792","","4974"
"8年度／回収数(%)","93.7","92.2","89.6","93.2","94.2","92.1","94.6","","92.9"
"9年度／在籍数","1752","1326","680","1044","1613","1320","1650","477","9862"
"9年度／回収数","1536","1255","590","857","1419","1117","1489","418","8681"
"9年度／回収数(%)","87.7","94.6","86.8","82.1","88.0","84.6","90.2","87.6","88.0"
"10年度／在籍数","1661","1320","663","893","1492","1151","1536","","8716"
"10年度／回収数","1474","1231","600","819","1346","1057","1453","","7980"
"10年度／回収数(%)","88.7","93.3","90.5","91.7","90.2","91.8","94.6","","91.6"
"11年度／在籍数","1635","1297","634","841","1380","1073","1495","","8355"
"11年度／回収数","1438","1215","584","782","1277","1001","1412","","7709"
"11年度／回収数(%)","88.0","93.7","92.1","93.0","92.5","93.3","94.4","","92.3"
