"","女性労働力率(%)","合計特殊出生率(%)"
"スウェーデン","76.1","1.65"
"デンマーク","73.6","1.72"
"ノルウェー","69.2","1.75"
"アメリカ","60.1","2.01"
"カナダ","60.7","1.50"
"オーストラリア","55.1","1.75"
"イギリス","44.8","1.63"
"ドイツ","48.9","1.34"
"韓国","48.8","1.19"
"日本","48.3","1.29"
"フランス","47.8","1.88"
