"","男性／総数","男性／20-29歳","男性／30-39歳","男性／40-49歳","男性／50-59歳","男性／60-69歳","男性／70歳以上","女性／総数","女性／20-29歳","女性／30-39歳","女性／40-49歳","女性／50-59歳","女性／60-69歳","女性／70歳以上"
"人","193","19","25","29","34","36","50","218","19","14","48","33","29","55"
"%","13.5","0.0","12.0","24.1","20.6","13.9","8.0","6.0","0.0","14.3","12.5","6.1","4.1","1.8"
