"就職率","視覚障害","言語聴力障害","肢体障害","内部障害",
"平成24年度(%)","24.6","23.8","25.0","24.9",
"平成28年度(%)","26.9","31.4","30.1","29.4",
"24年度比(%)","2.3","7.6","5.1","4.5",
