"","男女計／件数","男女計／％","男性／件数","男性／％","女性／件数","女性／％"
"ひとり親家庭の子供同士が集まる場が設定され、悩みを話し合ったり、遊びやワークショップなどを通じて子供同士が交流する。","53","44.2","25","48.1","28","41.2"
"相談機関に相談員が配置され、悩み事などの相談相手となる。","33","27.5","18","34.6","15","22.1"
"相談相手がひとり親家庭を訪問し、悩み事などの相談にのる。","17","14.2","7","13.5","10","14.7"
"相談相手がひとり親家庭を訪問し、学習支援を行いながら、悩み事などの相談にものる。","38","31.7","14","26.9","24","35.3"
"その他","19","15.8","4","7.7","15","22.1"
"無回答","7","5.8","4","7.7","3","4.4"
