"保険者番号","保険者別","賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／計(千円)","保険料（税）軽減額(千円)","災害等による減免額(千円)","その他の減免額(千円)","賦課限度額を超える額(千円)","増減額(千円)","調定額(千円)"
"29","府中市","105722","67.65","","","50562","32.35","","","156284","10018","0","54","16447","-23396","106369"
"30","昭島市","64081","63.30","","","37150","36.70","","","101231","7065","0","0","6555","-16769","70842"
"31","調布市","105557","70.86","","","43411","29.14","","","148968","8370","0","4","9708","-32166","98720"
"32","町田市","218929","68.79","","","81538","25.62","17791","5.59","318258","16823","0","0","60857","-45379","195199"
"33","福生市","38199","66.66","","","19104","33.34","","","57303","3451","0","0","6133","-10190","37529"
"34","羽村市","38934","76.22","","","12144","23.78","","","51078","2509","0","0","15526","-5812","27231"
"35","瑞穂町","15361","67.18","","","7504","32.82","","","22865","1339","0","0","1654","-2534","17338"
"36","あきる野市","33849","54.82","3242","5.25","17840","28.89","6815","11.04","61746","4372","0","0","2105","-13324","41945"
"37","日の出町","7410","55.15","","","6025","44.85","","","13435","1109","0","0","0","-1806","10520"
"39","檜原村","1668","61.92","","","1026","38.08","","","2694","167","0","0","0","-117","2410"
"40","奥多摩町","3213","55.81","","","2544","44.19","","","5757","487","0","0","0","-1035","4235"
"42","日野市","79265","62.07","7986","6.25","28960","22.68","11491","9.00","127702","6657","40","0","4185","-16826","99994"
"44","多摩市","71455","61.65","","","44458","38.35","","","115913","8137","0","0","2446","-18754","86576"
"45","稲城市","75113","78.77","","","20250","21.23","","","95363","3297","0","0","19798","-29005","43263"
"46","国立市","39562","75.98","","","12506","24.02","","","52068","2259","0","0","4623","-8151","37035"
"47","狛江市","53972","74.42","5071","6.99","12768","17.61","710","0.98","72521","2508","0","0","23013","-8371","38629"
"48","小金井市","67609","71.22","","","23394","24.65","3919","4.13","94922","4584","0","0","12257","-13278","64803"
"49","国分寺市","33457","62.04","","","20468","37.96","","","53925","3371","0","0","1095","-7611","41848"
"51","武蔵村山市","41657","64.98","6157","9.60","12613","19.67","3686","5.75","64113","2669","0","0","9006","-4642","47796"
"52","東大和市","45919","59.40","7298","9.44","19680","25.46","4406","5.70","77303","4060","0","0","7054","-11177","55012"
"53","東村山市","84682","63.07","","","35469","26.42","14118","10.51","134269","8906","0","0","6298","-38389","80676"
"54","清瀬市","30057","50.90","3341","5.66","17832","30.19","7828","13.25","59058","5380","0","0","2345","-12494","38839"
"55","東久留米市","48356","57.47","","","31605","37.56","4180","4.97","84141","7186","0","0","2242","-16865","57848"
"57","西東京市","108745","67.04","","","44551","27.47","8910","5.49","162206","10746","0","0","17118","-26035","108307"
"58","小平市","87740","69.81","3177","2.53","33209","26.42","1555","1.24","125681","6232","0","0","12477","-20147","86825"
"59","大島町","3597","45.76","789","10.04","1840","23.41","1634","20.79","7860","614","0","0","0","-1637","5609"
"60","利島村","","","","","","","","","","","","","","",""
"61","新島村","1018","53.30","239","12.51","429","22.46","224","11.73","1910","120","0","0","0","-219","1571"
"62","神津島村","258","34.13","142","18.78","216","28.57","140","18.52","756","61","0","0","0","-71","624"
"63","三宅村","283","33.89","130","15.57","224","26.83","198","23.71","835","118","0","0","0","-118","599"
"64","御蔵島村","","","","","","","","","","","","","","",""
"65","八丈町","1109","33.14","162","4.84","983","29.38","1092","32.64","3346","235","0","0","0","-869","2242"
"66","青ヶ島村","","","","","","","","","","","","","","",""
"67","小笠原村","","","","","","","","","","","","","","",""
