"東京／年","東京／性別","東京／75-79歳(人口10万人対)","東京／80-84(人口10万人対)","東京／85-89(人口10万人対)","東京／90-94(人口10万人対)","東京／95-99(人口10万人対)","東京／100歳以上(人口10万人対)"
"平成21年","総数","4.2","8.7","14.2","33.6","50.1","30.7"
"平成21年","男性","6.6","9.4","13.1","26","0","215.5"
"平成21年","女性","2.5","8.3","14.6","36.2","62.9","0"
"平成20年","総数","6.5","11.8","13.8","20.6","43.9","35"
"平成20年","男性","6.4","12.6","14","26","23.8",""
"平成20年","女性","6.8","13.5","18.4","34","41.6",""
"平成19年","総数","8.8","12.4","22.7","42.9","78.7",""
"平成19年","男性","8.3","18.1","27.1","59.5","102.6",""
"平成19年","女性","9.1","9.1","20.8","36.9","72.6",""
"平成18年","総数","6.4","18.8","26.8","38.5","57.5","83.5"
"平成18年","男性","5.4","21.6","39.3","55.2","139.2",""
"平成18年","女性","7.1","17.2","21.2","32.4","36.2","98.7"
