"年度","平成19(％)","平成20(％)","平成21(％)","平成22(％)","平成23(％)","平成24(％)"
"1年時点退院率（東京都）","89.4","90.1","91.0","91.1","90.2","89.8"
"1年時点退院率（全国","87.2","87.1","87.5","87.8","87.6","87.3"
"3か月時点退院率（東京都）","60.4","61.8","63.9","65.0","62.4","61.4"
"3か月時点退院率（全国）","58.5","59.2","58.1","59.0","58.1","58.0"
