"","平成7年度","平成8年度","平成9年度","平成10年度","平成11年度","計"
"＜窒素酸化物＞／短期型／一酸化窒素（NO）／青梅市","","12","11","12","12","47"
"＜窒素酸化物＞／短期型／一酸化窒素（NO）／東大和市","","12","12","12","12","48"
"＜窒素酸化物＞／短期型／一酸化窒素（NO）／八王子市","","12","12","12","12","48"
"＜窒素酸化物＞／短期型／一酸化窒素（NO）／中野区","","12","12","12","12","48"
"＜窒素酸化物＞／短期型／一酸化窒素（NO）／豊島区","","10","12","11","12","45"
"＜窒素酸化物＞／短期型／一酸化窒素（NO）／品川区","","12","12","12","12","48"
"＜窒素酸化物＞／短期型／一酸化窒素（NO）／足立区","","12","12","12","12","48"
"＜窒素酸化物＞／短期型／一酸化窒素（NO）／八丈島","","","6","12","12","30"
"＜窒素酸化物＞／短期型／二酸化窒素（NO2）／青梅市","","12","11","12","12","47"
"＜窒素酸化物＞／短期型／二酸化窒素（NO2）／東大和市","","12","12","12","12","48"
"＜窒素酸化物＞／短期型／二酸化窒素（NO2）／八王子市","","12","12","12","12","48"
"＜窒素酸化物＞／短期型／二酸化窒素（NO2）／中野区","","12","12","12","12","48"
"＜窒素酸化物＞／短期型／二酸化窒素（NO2）／豊島区","","11","12","11","12","46"
"＜窒素酸化物＞／短期型／二酸化窒素（NO2）／品川区","","12","12","12","12","48"
"＜窒素酸化物＞／短期型／二酸化窒素（NO2）／足立区","","12","12","12","12","48"
"＜窒素酸化物＞／短期型／二酸化窒素（NO2）／八丈島","","","6","12","12","30"
"＜窒素酸化物＞／長期型／一酸化窒素（NO）／青梅市","","11","12","12","11","46"
"＜窒素酸化物＞／長期型／一酸化窒素（NO）／東大和市","","11","12","12","11","46"
"＜窒素酸化物＞／長期型／一酸化窒素（NO）／八王子市","","11","12","12","11","46"
"＜窒素酸化物＞／長期型／一酸化窒素（NO）／中野区","","11","12","12","11","46"
"＜窒素酸化物＞／長期型／一酸化窒素（NO）／豊島区","","11","12","12","11","46"
"＜窒素酸化物＞／長期型／一酸化窒素（NO）／品川区","","11","12","12","10","45"
"＜窒素酸化物＞／長期型／一酸化窒素（NO）／足立区","","11","12","12","11","46"
"＜窒素酸化物＞／長期型／一酸化窒素（NO）／八丈島","","","5","12","10","27"
"＜窒素酸化物＞／長期型／二酸化窒素（NO2）／青梅市","","11","12","12","11","46"
"＜窒素酸化物＞／長期型／二酸化窒素（NO2）／東大和市","","11","12","12","11","46"
"＜窒素酸化物＞／長期型／二酸化窒素（NO2）／八王子市","","11","12","12","11","46"
"＜窒素酸化物＞／長期型／二酸化窒素（NO2）／中野区","","11","12","12","11","46"
"＜窒素酸化物＞／長期型／二酸化窒素（NO2）／豊島区","","11","12","12","11","46"
"＜窒素酸化物＞／長期型／二酸化窒素（NO2）／品川区","","11","12","12","10","45"
"＜窒素酸化物＞／長期型／二酸化窒素（NO2）／足立区","","11","12","12","11","46"
"＜窒素酸化物＞／長期型／二酸化窒素（NO2）／八丈島","","","5","12","10","27"
"＜浮遊粒子状物質＞／微小粒子／青梅市","11","12","12","12","12","59"
"＜浮遊粒子状物質＞／微小粒子／東大和市","6","12","12","12","12","54"
"＜浮遊粒子状物質＞／微小粒子／八王子市","6","11","12","11","12","52"
"＜浮遊粒子状物質＞／微小粒子／中野区","11","12","12","12","12","59"
"＜浮遊粒子状物質＞／微小粒子／豊島区","11","12","12","11","12","58"
"＜浮遊粒子状物質＞／微小粒子／品川区","11","11","12","12","12","58"
"＜浮遊粒子状物質＞／微小粒子／足立区","11","12","12","12","10","57"
"＜浮遊粒子状物質＞／微小粒子／八丈島","","","6","12","11","29"
"＜浮遊粒子状物質＞／粗大粒子／青梅市","9","12","12","12","12","57"
"＜浮遊粒子状物質＞／粗大粒子／東大和市","5","12","10","12","12","51"
"＜浮遊粒子状物質＞／粗大粒子／八王子市","6","11","12","11","12","52"
"＜浮遊粒子状物質＞／粗大粒子／中野区","10","12","12","12","12","58"
"＜浮遊粒子状物質＞／粗大粒子／豊島区","10","12","12","11","12","57"
"＜浮遊粒子状物質＞／粗大粒子／品川区","4","11","12","12","12","51"
"＜浮遊粒子状物質＞／粗大粒子／足立区","9","12","12","12","10","55"
"＜浮遊粒子状物質＞／粗大粒子／八丈島","","","6","12","8","26"
