"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"悪い影響がある","226","74.8","223","70.8"
"何らかの影響がある","60","19.9","77","24.4"
"良い影響がある","1","0.3","2","0.6"
"よくわからない","10","3.3","7","2.2"
"無記入","5","1.7","6","1.9"
"合計","302","100.0","315","100.0"
